Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight   21 Aug 2012
                                                                      
SIZRS Flight 4 (AXCTD drop 1)       Arctic Ocean       USCG C-130 1709
80 deg 12.3 min North _ 150 deg 08.8 min West      2012-08-21/2340 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12068091                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -1.102    2.2415    27.314    21.929
     0.730     0.738    -1.113    2.2415    27.324    21.937
     0.750     0.758    -1.123    2.2400    27.313    21.929
     0.780     0.788    -1.134    2.2385    27.303    21.921
     0.820     0.829    -1.156    2.2370    27.303    21.921
     0.880     0.889    -1.166    2.2385    27.332    21.945
     0.940     0.950    -1.177    2.2385    27.342    21.953
     1.000     1.011    -1.188    2.2415    27.392    21.994
     1.080     1.091    -1.188    2.2460    27.452    22.042
     1.150     1.162    -1.199    2.2519    27.541    22.115
     1.230     1.243    -1.199    2.2549    27.582    22.147
     1.320     1.334    -1.199    2.2579    27.622    22.180
     1.410     1.425    -1.199    2.2609    27.662    22.212
     1.500     1.516    -1.199    2.2624    27.682    22.228
     1.600     1.617    -1.199    2.2654    27.722    22.261
     1.690     1.708    -1.210    2.2654    27.732    22.269
     1.790     1.809    -1.210    2.2654    27.732    22.269
     1.890     1.910    -1.210    2.2669    27.752    22.285
     1.990     2.011    -1.210    2.2669    27.752    22.285
     2.090     2.112    -1.210    2.2684    27.772    22.302
     2.200     2.223    -1.210    2.2684    27.772    22.302
     2.300     2.325    -1.210    2.2684    27.772    22.302
     2.410     2.436    -1.210    2.2684    27.772    22.301
     2.510     2.537    -1.210    2.2684    27.772    22.301
     2.620     2.648    -1.210    2.2699    27.792    22.318
     2.730     2.759    -1.210    2.2684    27.772    22.301
     2.830     2.860    -1.210    2.2699    27.792    22.318
     2.940     2.971    -1.210    2.2699    27.792    22.318
