Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  24 July 2012
                                                                      
SIZRS Flight 3 (AXCTD drop 3)       Arctic Ocean       USCG C-130 1790
73 deg 56.1 min North _ 150 deg 05.2 min West      2012-07-25/0056 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12046969                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.281    1.9838    23.262    18.645
     0.730     0.738    -0.271    1.9838    23.255    18.639
     0.750     0.758    -0.271    1.9838    23.255    18.639
     0.780     0.788    -0.281    1.9823    23.243    18.630
     0.820     0.828    -0.292    1.9823    23.251    18.637
     0.880     0.889    -0.292    1.9823    23.251    18.636
     0.940     0.950    -0.303    1.9838    23.279    18.659
     1.000     1.010    -0.303    1.9883    23.337    18.705
     1.080     1.091    -0.303    1.9943    23.413    18.767
     1.150     1.162    -0.303    1.9973    23.452    18.798
     1.230     1.243    -0.303    2.0048    23.548    18.876
     1.320     1.334    -0.303    2.0093    23.605    18.922
     1.410     1.425    -0.303    2.0152    23.681    18.983
     1.500     1.516    -0.313    2.0197    23.746    19.036
     1.600     1.617    -0.303    2.0212    23.758    19.045
     1.690     1.708    -0.313    2.0242    23.804    19.082
     1.790     1.809    -0.313    2.0257    23.823    19.098
     1.890     1.910    -0.313    2.0272    23.842    19.113
     1.990     2.011    -0.313    2.0272    23.842    19.113
     2.090     2.112    -0.303    2.0272    23.834    19.107
     2.200     2.223    -0.303    2.0287    23.854    19.122
     2.300     2.324    -0.303    2.0287    23.853    19.122
     2.410     2.435    -0.303    2.0302    23.873    19.138
     2.510     2.536    -0.313    2.0287    23.861    19.129
     2.620     2.647    -0.313    2.0302    23.880    19.144
     2.730     2.758    -0.313    2.0302    23.880    19.144
     2.830     2.860    -0.303    2.0317    23.892    19.153
     2.940     2.971    -0.303    2.0317    23.892    19.153
     3.050     3.082    -0.313    2.0302    23.880    19.144
