Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  26 June 2012
                                                                      
SIZRS Flight 2 (AXCTD drop 4)       Arctic Ocean       USCG C-130 1790
73 deg 01.0 min North _ 150 deg 01.8 min West      2012-06-27/0228 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12046972                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.204    2.2154    27.058    21.723
     0.730     0.738    -1.214    2.2154    27.067    21.731
     0.750     0.758    -1.214    2.2170    27.089    21.748
     0.780     0.788    -1.225    2.2154    27.077    21.739
     0.820     0.828    -1.225    2.2154    27.077    21.739
     0.880     0.889    -1.214    2.2154    27.067    21.731
     0.940     0.950    -1.214    2.2154    27.067    21.731
     1.000     1.010    -1.182    2.2154    27.038    21.707
     1.080     1.091    -1.193    2.2139    27.028    21.699
     1.150     1.162    -1.214    2.2093    26.986    21.665
     1.230     1.243    -1.225    2.2078    26.976    21.657
     1.320     1.334    -1.247    2.2093    27.015    21.689
     1.410     1.425    -1.258    2.2124    27.067    21.731
     1.500     1.516    -1.268    2.2185    27.157    21.804
     1.600     1.617    -1.279    2.2231    27.229    21.862
     1.690     1.708    -1.279    2.2292    27.311    21.929
     1.790     1.809    -1.290    2.2337    27.381    21.986
     1.890     1.910    -1.290    2.2368    27.422    22.019
     1.990     2.011    -1.301    2.2398    27.473    22.060
     2.090     2.112    -1.301    2.2413    27.493    22.076
     2.200     2.223    -1.301    2.2429    27.514    22.094
     2.300     2.324    -1.311    2.2444    27.544    22.118
     2.410     2.435    -1.311    2.2444    27.543    22.118
     2.510     2.536    -1.311    2.2459    27.564    22.134
     2.620     2.647    -1.311    2.2474    27.584    22.150
     2.730     2.758    -1.311    2.2490    27.605    22.168
     2.830     2.859    -1.311    2.2490    27.605    22.168
     2.940     2.971    -1.311    2.2490    27.605    22.167
     3.050     3.082    -1.311    2.2490    27.605    22.167
