Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight   30 May 2012
                                                                      
SIZRS Flight 1 (AXCTD drop 2)       Arctic Ocean       USCG C-130 1704
74 deg 57.4 min North _ 150 deg 02.5 min West      2012-05-31/0001 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12046990                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.316    2.0943    25.542    20.496
     0.730     0.738    -1.327    2.0943    25.552    20.504
     0.750     0.758    -1.327    2.0943    25.552    20.504
     0.780     0.788    -1.338    2.0958    25.581    20.528
     0.820     0.829    -1.338    2.0973    25.601    20.544
     0.880     0.889    -1.338    2.0973    25.601    20.544
     0.940     0.950    -1.338    2.1003    25.641    20.576
     1.000     1.010    -1.338    2.1018    25.661    20.592
     1.080     1.091    -1.348    2.1018    25.670    20.599
     1.150     1.162    -1.338    2.1033    25.681    20.608
     1.230     1.243    -1.338    2.1033    25.681    20.608
     1.320     1.334    -1.348    2.1048    25.709    20.632
     1.410     1.425    -1.348    2.1048    25.709    20.632
     1.500     1.516    -1.348    2.1048    25.709    20.631
     1.600     1.617    -1.338    2.1063    25.721    20.641
     1.690     1.708    -1.348    2.1063    25.729    20.648
     1.790     1.809    -1.348    2.1078    25.749    20.664
     1.890     1.910    -1.348    2.1078    25.749    20.664
     1.990     2.011    -1.348    2.1078    25.749    20.664
     2.090     2.112    -1.348    2.1093    25.769    20.680
     2.200     2.223    -1.348    2.1093    25.769    20.680
     2.300     2.324    -1.359    2.1093    25.778    20.688
     2.410     2.435    -1.348    2.1093    25.769    20.680
     2.510     2.536    -1.359    2.1093    25.778    20.687
     2.620     2.647    -1.348    2.1108    25.789    20.696
     2.730     2.759    -1.348    2.1108    25.789    20.696
     2.830     2.860    -1.359    2.1108    25.798    20.704
     2.940     2.971    -1.348    2.1108    25.789    20.696
     3.050     3.082    -1.359    2.1108    25.798    20.703
