Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight   16 Oct 2012
                                                                      
SIZRS Flight 6 (AXCTD drop 4)       Arctic Ocean       USCG C-130 1715
72 deg 00.0 min North _ 150 deg 00.4 min West      2012-10-16/2259 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12068096                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     2.093    2.3883    26.395    21.080
     0.730     0.737     2.073    2.3868    26.394    21.080
     0.750     0.758     2.052    2.3853    26.393    21.080
     0.780     0.788     2.042    2.3853    26.402    21.087
     0.820     0.828     2.032    2.3839    26.393    21.081
     0.880     0.889     2.032    2.3868    26.428    21.109
     0.940     0.950     2.022    2.3883    26.455    21.131
     1.000     1.010     2.022    2.3898    26.473    21.145
     1.080     1.091     2.022    2.3913    26.491    21.160
     1.150     1.162     2.022    2.3928    26.509    21.174
     1.230     1.243     2.022    2.3928    26.509    21.174
     1.320     1.334     2.022    2.3942    26.526    21.188
     1.410     1.425     2.022    2.3942    26.526    21.188
     1.500     1.515     2.022    2.3942    26.526    21.188
     1.600     1.616     2.022    2.3942    26.526    21.188
     1.690     1.707     2.022    2.3942    26.526    21.188
     1.790     1.808     2.022    2.3942    26.526    21.188
     1.890     1.909     2.022    2.3957    26.544    21.202
     1.990     2.011     2.022    2.3942    26.526    21.188
     2.090     2.112     2.022    2.3957    26.544    21.202
     2.200     2.223     2.022    2.3957    26.544    21.202
     2.300     2.324     2.022    2.3957    26.544    21.202
     2.410     2.435     2.032    2.3957    26.535    21.195
     2.510     2.536     2.022    2.3957    26.544    21.202
     2.620     2.647     2.032    2.3957    26.535    21.195
     2.730     2.758     2.032    2.3957    26.535    21.195
     2.830     2.859     2.022    2.3957    26.544    21.202
     2.940     2.970     2.022    2.3957    26.543    21.202
     3.050     3.082     2.022    2.3957    26.543    21.202
     3.160     3.193     2.022    2.3957    26.543    21.202
