Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight   18 Sept 2012
                                                                      
SIZRS Flight 5 (AXCTD drop 2)       Arctic Ocean       USCG C-130 1790
77 deg 58.6 min North _ 149 deg 59.9 min West      2012-09-18/2340 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12068097                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -0.987    2.2039    26.711    21.439
     0.730     0.738    -0.987    2.2039    26.711    21.439
     0.750     0.758    -0.998    2.2054    26.740    21.464
     0.780     0.788    -0.998    2.2084    26.780    21.496
     0.820     0.829    -1.009    2.2084    26.790    21.504
     0.880     0.889    -0.998    2.2098    26.799    21.511
     0.940     0.950    -0.998    2.2113    26.818    21.527
     1.000     1.011    -1.009    2.2113    26.828    21.535
     1.080     1.091    -0.998    2.2113    26.818    21.527
     1.150     1.162    -1.009    2.2128    26.848    21.551
     1.230     1.243    -1.009    2.2128    26.848    21.551
     1.320     1.334    -1.009    2.2143    26.868    21.567
     1.410     1.425    -1.009    2.2143    26.868    21.567
     1.500     1.516    -1.009    2.2143    26.868    21.567
     1.600     1.617    -1.009    2.2143    26.868    21.567
     1.690     1.708    -1.009    2.2143    26.868    21.567
     1.790     1.809    -1.009    2.2143    26.868    21.567
     1.890     1.910    -1.009    2.2158    26.887    21.583
     1.990     2.011    -1.009    2.2158    26.887    21.583
     2.090     2.112    -1.009    2.2158    26.887    21.583
     2.200     2.223    -1.009    2.2158    26.887    21.583
     2.300     2.324    -1.009    2.2158    26.887    21.583
     2.410     2.436    -1.009    2.2158    26.887    21.583
     2.510     2.537    -1.009    2.2158    26.887    21.583
     2.620     2.648    -1.009    2.2158    26.887    21.583
     2.730     2.759    -1.009    2.2158    26.887    21.582
     2.830     2.860    -1.009    2.2158    26.887    21.582
     2.940     2.971    -1.009    2.2158    26.887    21.582
