Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  16 August 2013
                                                                      
SIZRS 2013 Mission 3 (AXCTD drop 7)                    USCG C-130 1707
                      Arctic Ocean = Beaufort Sea                     
75 deg 04.0 min North _ 150 deg 00.0 min West      2013-08-16/1606 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 13072491                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.864    2.1916    26.439    21.218
     0.730     0.738    -0.875    2.1916    26.449    21.226
     0.750     0.758    -0.897    2.1901    26.449    21.226
     0.780     0.788    -0.929    2.1751    26.279    21.089
     0.820     0.829    -0.972    2.1556    26.059    20.912
     0.880     0.889    -1.025    2.1482    26.007    20.870
     0.940     0.950    -1.068    2.1452    26.004    20.869
     1.000     1.010    -1.101    2.1452    26.033    20.892
     1.080     1.091    -1.133    2.1467    26.081    20.931
     1.150     1.162    -1.144    2.1482    26.110    20.955
     1.230     1.243    -1.165    2.1512    26.168    21.002
     1.320     1.334    -1.187    2.1527    26.207    21.034
     1.410     1.425    -1.198    2.1571    26.275    21.089
     1.500     1.516    -1.208    2.1601    26.324    21.129
     1.600     1.617    -1.219    2.1616    26.354    21.153
     1.690     1.708    -1.230    2.1616    26.363    21.161
     1.790     1.809    -1.241    2.1631    26.393    21.185
     1.890     1.910    -1.252    2.1631    26.403    21.193
     1.990     2.011    -1.262    2.1631    26.412    21.200
     2.090     2.112    -1.273    2.1631    26.421    21.208
     2.200     2.223    -1.284    2.1631    26.431    21.216
     2.300     2.324    -1.295    2.1631    26.441    21.224
     2.410     2.435    -1.306    2.1661    26.490    21.264
     2.510     2.536    -1.316    2.1676    26.519    21.288
     2.620     2.647    -1.316    2.1676    26.519    21.288
     2.730     2.759    -1.327    2.1691    26.549    21.312
     2.830     2.860    -1.327    2.1691    26.549    21.312
     2.940     2.971    -1.327    2.1706    26.569    21.328
