Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  16 July 2013
                                                                      
SIZRS 2013 Mission 2 (AXCTD drop 2)                    USCG C-130 1713
                      Arctic Ocean = Beaufort Sea                     
74 deg 00.0 min North _ 150 deg 12.0 min West      2013-07-16/2201 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 12110108                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.956    2.1222    25.604    20.544
     0.730     0.738    -0.999    2.1087    25.463    20.430
     0.750     0.758    -1.031    2.1327    25.807    20.709
     0.780     0.788    -1.064    2.1357    25.875    20.764
     0.820     0.828    -1.085    2.1387    25.933    20.811
     0.880     0.889    -1.096    2.1462    26.042    20.899
     0.940     0.950    -1.107    2.1552    26.171    21.004
     1.000     1.010    -1.117    2.1567    26.199    21.027
     1.080     1.091    -1.128    2.1596    26.247    21.066
     1.150     1.162    -1.139    2.1611    26.277    21.090
     1.230     1.243    -1.139    2.1611    26.277    21.090
     1.320     1.334    -1.150    2.1641    26.326    21.130
     1.410     1.425    -1.150    2.1656    26.346    21.146
     1.500     1.516    -1.150    2.1656    26.346    21.146
     1.600     1.617    -1.160    2.1656    26.355    21.153
     1.690     1.708    -1.160    2.1671    26.375    21.169
     1.790     1.809    -1.160    2.1671    26.375    21.169
     1.890     1.910    -1.160    2.1686    26.395    21.186
     1.990     2.011    -1.160    2.1686    26.395    21.186
     2.090     2.112    -1.171    2.1686    26.404    21.193
     2.200     2.223    -1.171    2.1701    26.424    21.210
     2.300     2.324    -1.171    2.1701    26.424    21.210
     2.410     2.435    -1.171    2.1701    26.424    21.209
     2.510     2.536    -1.171    2.1716    26.444    21.226
     2.620     2.647    -1.171    2.1716    26.444    21.226
     2.730     2.758    -1.171    2.1716    26.444    21.225
     2.830     2.860    -1.171    2.1731    26.464    21.242
     2.940     2.971    -1.171    2.1731    26.464    21.242
