Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  20 June 2013
                                                                      
SIZRS 2013 Mission 1 (AXCTD drop 12)                   USCG C-130 1704
                      Arctic Ocean = Beaufort Sea                     
73 deg 59.0 min North _ 150 deg 00.0 min West      2013-06-20/2201 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 13041228                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     1.107    2.1995    24.889    19.919
     0.730     0.738     1.076    2.2084    25.024    20.029
     0.750     0.758     1.035    2.2114    25.094    20.086
     0.780     0.788     0.899    2.2114    25.204    20.180
     0.820     0.828     0.586    2.2218    25.591    20.501
     0.880     0.889     0.145    2.2516    26.342    21.118
     0.940     0.950    -0.299    2.2605    26.843    21.534
     1.000     1.010    -0.618    2.2620    27.147    21.786
     1.080     1.091    -0.832    2.2635    27.360    21.962
     1.150     1.162    -0.961    2.2635    27.478    22.060
     1.230     1.243    -1.047    2.2650    27.576    22.141
     1.320     1.334    -1.122    2.2650    27.645    22.198
     1.410     1.425    -1.165    2.2650    27.685    22.231
     1.500     1.516    -1.198    2.2664    27.734    22.271
     1.600     1.617    -1.219    2.2664    27.754    22.287
     1.690     1.708    -1.230    2.2664    27.764    22.295
     1.790     1.809    -1.241    2.2679    27.794    22.320
     1.890     1.910    -1.252    2.2679    27.804    22.328
     1.990     2.011    -1.252    2.2679    27.804    22.328
     2.090     2.112    -1.252    2.2679    27.804    22.328
     2.200     2.223    -1.252    2.2694    27.824    22.345
     2.300     2.324    -1.263    2.2694    27.835    22.353
     2.410     2.435    -1.263    2.2694    27.834    22.353
     2.510     2.536    -1.263    2.2694    27.834    22.353
     2.620     2.647    -1.263    2.2694    27.834    22.353
     2.730     2.758    -1.263    2.2694    27.834    22.353
     2.830     2.860    -1.263    2.2694    27.834    22.353
     2.940     2.971    -1.263    2.2694    27.834    22.353
