Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  14 August 2014
                                                                      
SIZRS 2014 Mission 3 (AXCTD drop 8)                    USCG C-130 1713
                      Arctic Ocean = Beaufort Sea                     
73 deg 02.6 min North _ 140 deg 49.2 min West      2014-08-14/1435 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 13083295                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.248    2.1240    25.879    20.768
     0.730     0.738    -1.259    2.1285    25.948    20.825
     0.750     0.758    -1.248    2.1315    25.979    20.849
     0.780     0.788    -1.248    2.1330    25.999    20.865
     0.820     0.828    -1.259    2.1345    26.028    20.889
     0.880     0.889    -1.248    2.1360    26.039    20.898
     0.940     0.950    -1.259    2.1374    26.067    20.921
     1.000     1.010    -1.248    2.1374    26.057    20.913
     1.080     1.091    -1.259    2.1374    26.067    20.921
     1.150     1.162    -1.259    2.1389    26.087    20.937
     1.230     1.243    -1.259    2.1389    26.087    20.937
     1.320     1.334    -1.269    2.1404    26.115    20.960
     1.410     1.425    -1.269    2.1404    26.115    20.960
     1.500     1.516    -1.269    2.1404    26.115    20.960
     1.600     1.617    -1.269    2.1404    26.115    20.960
     1.690     1.708    -1.269    2.1419    26.135    20.976
     1.790     1.809    -1.269    2.1419    26.135    20.976
     1.890     1.910    -1.269    2.1419    26.135    20.976
     1.990     2.011    -1.269    2.1419    26.135    20.976
     2.090     2.112    -1.280    2.1419    26.145    20.984
     2.200     2.223    -1.280    2.1434    26.165    21.000
     2.300     2.324    -1.280    2.1434    26.164    21.000
     2.410     2.435    -1.280    2.1434    26.164    21.000
     2.510     2.536    -1.280    2.1434    26.164    21.000
     2.620     2.647    -1.291    2.1449    26.194    21.024
     2.730     2.758    -1.280    2.1449    26.184    21.016
     2.830     2.859    -1.291    2.1449    26.194    21.024
     2.940     2.971    -1.291    2.1449    26.194    21.024
