Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  24 July 2014
                                                                      
SIZRS 2014 Mission 2 (AXCTD drop 11)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
76 deg 00.1 min North _ 140 deg 21.0 min West      2014-07-24/2020 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 13072494                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -0.689    2.1620    25.898    20.779
     0.730     0.738    -0.732    2.1605    25.916    20.793
     0.750     0.758    -0.764    2.1485    25.786    20.689
     0.780     0.788    -0.817    2.1320    25.615    20.551
     0.820     0.829    -0.924    2.1275    25.647    20.578
     0.880     0.889    -1.000    2.1425    25.910    20.791
     0.940     0.950    -1.053    2.1410    25.936    20.813
     1.000     1.010    -1.075    2.1425    25.975    20.845
     1.080     1.091    -1.096    2.1485    26.072    20.924
     1.150     1.162    -1.118    2.1530    26.151    20.988
     1.230     1.243    -1.139    2.1620    26.289    21.100
     1.320     1.334    -1.172    2.1650    26.358    21.156
     1.410     1.425    -1.193    2.1695    26.436    21.219
     1.500     1.516    -1.204    2.1755    26.526    21.292
     1.600     1.617    -1.204    2.1800    26.586    21.341
     1.690     1.708    -1.215    2.1860    26.675    21.413
     1.790     1.809    -1.215    2.1905    26.735    21.462
     1.890     1.910    -1.226    2.1950    26.805    21.519
     1.990     2.011    -1.226    2.1980    26.845    21.551
     2.090     2.112    -1.236    2.2010    26.894    21.591
     2.200     2.223    -1.236    2.2025    26.914    21.607
     2.300     2.324    -1.236    2.2040    26.934    21.623
     2.410     2.435    -1.247    2.2040    26.944    21.631
     2.510     2.536    -1.236    2.2055    26.954    21.639
     2.620     2.648    -1.247    2.2055    26.964    21.647
     2.730     2.759    -1.236    2.2055    26.954    21.639
     2.830     2.860    -1.247    2.2055    26.964    21.647
     2.940     2.971    -1.247    2.2070    26.984    21.664
