Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  17 November 2014
                                                                      
SIZRS 2014 Mission 4 (AXCTD drop 5)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
72 deg 04.7 min North _ 150 deg 02.8 min West      2014-06-17/1618 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 13072490                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.516    2.3920    29.738    23.900
     0.730     0.737    -1.538    2.3920    29.760    23.918
     0.750     0.758    -1.538    2.3935    29.780    23.934
     0.780     0.788    -1.548    2.3949    29.809    23.958
     0.820     0.828    -1.570    2.4009    29.913    24.043
     0.880     0.889    -1.570    2.4053    29.973    24.092
     0.940     0.950    -1.570    2.4098    30.035    24.141
     1.000     1.010    -1.570    2.4142    30.095    24.190
     1.080     1.091    -1.570    2.4157    30.115    24.207
     1.150     1.162    -1.570    2.4201    30.175    24.256
     1.230     1.243    -1.570    2.4216    30.196    24.272
     1.320     1.334    -1.581    2.4246    30.248    24.315
     1.410     1.425    -1.581    2.4261    30.268    24.331
     1.500     1.515    -1.581    2.4275    30.287    24.347
     1.600     1.616    -1.592    2.4290    30.319    24.373
     1.690     1.707    -1.581    2.4305    30.328    24.380
     1.790     1.808    -1.592    2.4305    30.340    24.389
     1.890     1.909    -1.581    2.4305    30.328    24.380
     1.990     2.011    -1.592    2.4305    30.339    24.389
     2.090     2.112    -1.592    2.4320    30.360    24.406
     2.200     2.223    -1.592    2.4320    30.360    24.406
     2.300     2.324    -1.592    2.4320    30.360    24.406
     2.410     2.435    -1.592    2.4320    30.360    24.406
     2.510     2.536    -1.581    2.4335    30.369    24.413
     2.620     2.647    -1.592    2.4335    30.380    24.422
     2.730     2.758    -1.592    2.4320    30.360    24.406
     2.830     2.859    -1.592    2.4335    30.380    24.422
     2.940     2.970    -1.581    2.4335    30.369    24.413
