Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  14 October 2014
                                                                      
SIZRS 2014 Mission 5 (AXCTD drop 2)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
72 deg 52.0 min North _ 150 deg 01.2 min West      2014-10-14/1630 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 10467484                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.413    2.1216    25.990    20.860
     0.730     0.738    -1.413    2.1216    25.990    20.860
     0.750     0.758    -1.413    2.1216    25.990    20.860
     0.780     0.788    -1.413    2.1216    25.990    20.860
     0.820     0.828    -1.424    2.1230    26.019    20.883
     0.880     0.889    -1.413    2.1305    26.109    20.956
     0.940     0.950    -1.424    2.1364    26.198    21.028
     1.000     1.010    -1.413    2.1424    26.269    21.085
     1.080     1.091    -1.413    2.1483    26.348    21.149
     1.150     1.162    -1.424    2.1498    26.377    21.173
     1.230     1.243    -1.424    2.1528    26.418    21.206
     1.320     1.334    -1.424    2.1572    26.477    21.254
     1.410     1.425    -1.424    2.1602    26.517    21.286
     1.500     1.516    -1.424    2.1617    26.537    21.303
     1.600     1.617    -1.424    2.1661    26.596    21.350
     1.690     1.707    -1.424    2.1676    26.616    21.367
     1.790     1.809    -1.424    2.1691    26.636    21.383
     1.890     1.910    -1.424    2.1706    26.656    21.399
     1.990     2.011    -1.424    2.1721    26.676    21.415
     2.090     2.112    -1.424    2.1721    26.676    21.415
     2.200     2.223    -1.413    2.1736    26.686    21.424
     2.300     2.324    -1.424    2.1736    26.696    21.432
     2.410     2.435    -1.413    2.1750    26.705    21.439
     2.510     2.536    -1.413    2.1750    26.705    21.439
     2.620     2.647    -1.413    2.1750    26.705    21.439
     2.730     2.758    -1.413    2.1750    26.705    21.439
     2.830     2.859    -1.413    2.1765    26.725    21.455
     2.940     2.971    -1.413    2.1765    26.725    21.455
