Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  24 September 2014
                                                                      
SIZRS 2014 Mission 4 (AXCTD drop 2)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
72 deg 59.7 min North _ 149 deg 59.8 min West      2014-09-24/1252 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 14041019                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.389    2.1746    25.806    20.699
     0.730     0.738    -0.400    2.1761    25.835    20.723
     0.750     0.758    -0.400    2.1806    25.894    20.770
     0.780     0.788    -0.400    2.1851    25.952    20.817
     0.820     0.828    -0.400    2.1880    25.990    20.847
     0.880     0.889    -0.400    2.1910    26.028    20.879
     0.940     0.950    -0.400    2.1925    26.048    20.894
     1.000     1.010    -0.400    2.1955    26.087    20.926
     1.080     1.091    -0.400    2.1970    26.106    20.942
     1.150     1.162    -0.400    2.1970    26.106    20.942
     1.230     1.243    -0.400    2.2015    26.165    20.989
     1.320     1.334    -0.400    2.2045    26.204    21.020
     1.410     1.425    -0.400    2.2060    26.223    21.036
     1.500     1.516    -0.400    2.2075    26.243    21.052
     1.600     1.617    -0.400    2.2075    26.242    21.052
     1.690     1.708    -0.400    2.2075    26.242    21.051
     1.790     1.809    -0.400    2.2089    26.261    21.066
     1.890     1.910    -0.400    2.2089    26.261    21.066
     1.990     2.011    -0.400    2.2089    26.260    21.066
     2.090     2.112    -0.400    2.2104    26.280    21.082
     2.200     2.223    -0.400    2.2089    26.260    21.066
     2.300     2.324    -0.400    2.2104    26.280    21.082
     2.410     2.435    -0.400    2.2104    26.280    21.082
     2.510     2.536    -0.400    2.2104    26.280    21.082
     2.620     2.647    -0.410    2.2104    26.288    21.089
     2.730     2.758    -0.400    2.2104    26.280    21.082
     2.830     2.859    -0.400    2.2104    26.280    21.081
     2.940     2.971    -0.400    2.2119    26.299    21.097
