Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  12 August 2015
                                                                      
SIZRS 2015 Mission 3 (AXCTD drop 12)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
76 deg 57.5 min North _ 150 deg 00.8 min West      2015-08-12/2127 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031589                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -0.880    2.1395    25.767    20.675
     0.730     0.738    -0.880    2.1395    25.767    20.675
     0.750     0.758    -0.869    2.1395    25.758    20.667
     0.780     0.788    -0.869    2.1395    25.758    20.667
     0.820     0.829    -0.880    2.1380    25.747    20.659
     0.880     0.889    -0.890    2.1335    25.697    20.618
     0.940     0.950    -0.912    2.1335    25.715    20.633
     1.000     1.010    -0.923    2.1350    25.744    20.657
     1.080     1.091    -0.923    2.1350    25.744    20.657
     1.150     1.162    -0.944    2.1365    25.782    20.688
     1.230     1.243    -0.944    2.1395    25.822    20.720
     1.320     1.334    -0.955    2.1409    25.850    20.742
     1.410     1.425    -0.955    2.1424    25.869    20.758
     1.500     1.516    -0.965    2.1454    25.917    20.797
     1.600     1.617    -0.965    2.1483    25.956    20.828
     1.690     1.708    -0.965    2.1498    25.975    20.844
     1.790     1.809    -0.965    2.1527    26.014    20.875
     1.890     1.910    -0.965    2.1542    26.033    20.891
     1.990     2.011    -0.965    2.1557    26.053    20.907
     2.090     2.112    -0.965    2.1542    26.033    20.891
     2.200     2.223    -0.965    2.1572    26.073    20.923
     2.300     2.324    -0.976    2.1572    26.082    20.931
     2.410     2.435    -0.987    2.1572    26.092    20.939
     2.510     2.537    -1.008    2.1557    26.090    20.938
     2.620     2.648    -1.019    2.1572    26.120    20.961
     2.730     2.759    -1.019    2.1586    26.138    20.976
     2.830     2.860    -1.030    2.1586    26.148    20.984
     2.940     2.971    -1.030    2.1572    26.129    20.969
