Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  15 July 2015
                                                                      
SIZRS 2015 Mission 1 (AXCTD drop 4)                    USCG C-130 1790
                      Arctic Ocean = Beaufort Sea                     
74 deg 07.2 min North _ 150 deg 15.2 min West      2015-07-15/0009 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031572                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.949    2.1143    25.494    20.455
     0.730     0.738    -1.003    2.1204    25.621    20.558
     0.750     0.758    -1.046    2.1219    25.677    20.604
     0.780     0.788    -1.068    2.1265    25.757    20.668
     0.820     0.829    -1.078    2.1295    25.805    20.707
     0.880     0.889    -1.089    2.1311    25.836    20.732
     0.940     0.950    -1.089    2.1341    25.875    20.764
     1.000     1.010    -1.100    2.1357    25.906    20.789
     1.080     1.091    -1.100    2.1372    25.926    20.805
     1.150     1.162    -1.111    2.1372    25.935    20.813
     1.230     1.243    -1.121    2.1387    25.964    20.836
     1.320     1.334    -1.132    2.1387    25.973    20.844
     1.410     1.425    -1.132    2.1402    25.993    20.860
     1.500     1.516    -1.132    2.1402    25.993    20.860
     1.600     1.617    -1.132    2.1402    25.993    20.860
     1.690     1.708    -1.132    2.1418    26.014    20.877
     1.790     1.809    -1.132    2.1418    26.014    20.877
     1.890     1.910    -1.143    2.1418    26.024    20.885
     1.990     2.011    -1.132    2.1418    26.014    20.877
     2.090     2.112    -1.143    2.1418    26.024    20.885
     2.200     2.223    -1.143    2.1418    26.024    20.885
     2.300     2.324    -1.143    2.1418    26.024    20.885
     2.410     2.435    -1.143    2.1433    26.043    20.901
     2.510     2.536    -1.143    2.1433    26.043    20.901
     2.620     2.647    -1.132    2.1433    26.034    20.893
     2.730     2.758    -1.143    2.1433    26.043    20.901
     2.830     2.860    -1.132    2.1448    26.054    20.909
     2.940     2.971    -1.132    2.1448    26.054    20.909
