Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight   9 September 2015
                                                                      
SIZRS 2015 Mission 5 (AXCTD drop 2)                    USCG C-130 1711
                      Arctic Ocean = Beaufort Sea                     
73 deg 00.1 min North _ 150 deg 00.4 min West      2015-09-09/2304 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031562                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.844    2.0533    24.606    19.736
     0.730     0.738    -0.844    2.0547    24.625    19.751
     0.750     0.758    -0.844    2.0547    24.625    19.751
     0.780     0.788    -0.855    2.0562    24.653    19.774
     0.820     0.828    -0.844    2.0577    24.664    19.782
     0.880     0.889    -0.855    2.0577    24.673    19.790
     0.940     0.950    -0.844    2.0636    24.741    19.845
     1.000     1.010    -0.844    2.0666    24.780    19.876
     1.080     1.091    -0.855    2.0710    24.847    19.930
     1.150     1.162    -0.855    2.0740    24.886    19.962
     1.230     1.243    -0.855    2.0754    24.904    19.977
     1.320     1.334    -0.855    2.0769    24.924    19.993
     1.410     1.425    -0.844    2.0799    24.954    20.017
     1.500     1.516    -0.855    2.0799    24.963    20.024
     1.600     1.617    -0.844    2.0814    24.974    20.033
     1.690     1.708    -0.855    2.0814    24.983    20.040
     1.790     1.809    -0.855    2.0814    24.983    20.040
     1.890     1.910    -0.844    2.0814    24.974    20.033
     1.990     2.011    -0.855    2.0828    25.001    20.055
     2.090     2.112    -0.844    2.0828    24.992    20.047
     2.200     2.223    -0.855    2.0828    25.001    20.055
     2.300     2.324    -0.844    2.0828    24.992    20.047
     2.410     2.435    -0.844    2.0828    24.992    20.047
     2.510     2.536    -0.855    2.0828    25.001    20.055
     2.620     2.647    -0.844    2.0828    24.991    20.047
     2.730     2.758    -0.855    2.0828    25.001    20.055
     2.830     2.859    -0.855    2.0828    25.001    20.055
     2.940     2.971    -0.855    2.0828    25.000    20.055
