Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  10 September 2015
                                                                      
SIZRS 2015 Mission 5 (AXCTD drop 8)                    USCG C-130 1711
                      Arctic Ocean = Beaufort Sea                     
75 deg 00.0 min North _ 140 deg 00.1 min West      2015-09-10/2305 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 14067487                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.645    2.0825    24.824    19.910
     0.730     0.738    -0.645    2.0825    24.824    19.910
     0.750     0.758    -0.655    2.0825    24.832    19.917
     0.780     0.788    -0.666    2.0810    24.822    19.908
     0.820     0.829    -0.677    2.0810    24.831    19.916
     0.880     0.889    -0.677    2.0810    24.831    19.916
     0.940     0.950    -0.687    2.0840    24.878    19.954
     1.000     1.010    -0.698    2.0900    24.965    20.025
     1.080     1.091    -0.709    2.0959    25.051    20.094
     1.150     1.162    -0.709    2.1019    25.130    20.158
     1.230     1.243    -0.709    2.1034    25.149    20.173
     1.320     1.334    -0.719    2.1034    25.157    20.180
     1.410     1.425    -0.719    2.1079    25.216    20.228
     1.500     1.516    -0.719    2.1109    25.255    20.259
     1.600     1.617    -0.719    2.1124    25.275    20.275
     1.690     1.708    -0.730    2.1124    25.284    20.283
     1.790     1.809    -0.741    2.1139    25.313    20.306
     1.890     1.910    -0.741    2.1154    25.332    20.322
     1.990     2.011    -0.752    2.1169    25.361    20.345
     2.090     2.112    -0.752    2.1184    25.381    20.361
     2.200     2.223    -0.752    2.1184    25.381    20.361
     2.300     2.324    -0.752    2.1199    25.400    20.377
     2.410     2.435    -0.752    2.1199    25.400    20.377
     2.510     2.536    -0.752    2.1199    25.400    20.377
     2.620     2.647    -0.752    2.1199    25.400    20.377
     2.730     2.759    -0.752    2.1199    25.400    20.377
     2.830     2.860    -0.752    2.1199    25.400    20.377
     2.940     2.971    -0.752    2.1199    25.400    20.377
