Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  18 August 2016
                                                                      
SIZRS 2016 Mission 3 (AXCTD drop 5)                    USCG C-130 1714
                      Arctic Ocean = Beaufort Sea                     
76 deg 57.0 min North _ 150 deg 00.0 min West      2016-08-18/2144 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031648                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -0.446    2.1984    26.164    20.989
     0.730     0.738    -0.446    2.1969    26.145    20.974
     0.750     0.758    -0.456    2.1969    26.153    20.981
     0.780     0.788    -0.467    2.1969    26.163    20.989
     0.820     0.829    -0.478    2.1969    26.172    20.996
     0.880     0.889    -0.488    2.1984    26.201    21.019
     0.940     0.950    -0.488    2.2014    26.240    21.051
     1.000     1.010    -0.499    2.2043    26.287    21.089
     1.080     1.091    -0.488    2.2162    26.432    21.207
     1.150     1.162    -0.499    2.2250    26.557    21.307
     1.230     1.243    -0.499    2.2309    26.634    21.369
     1.320     1.334    -0.499    2.2354    26.693    21.417
     1.410     1.425    -0.499    2.2413    26.770    21.479
     1.500     1.516    -0.499    2.2472    26.847    21.541
     1.600     1.617    -0.499    2.2502    26.886    21.573
     1.690     1.708    -0.510    2.2516    26.914    21.596
     1.790     1.809    -0.499    2.2546    26.943    21.619
     1.890     1.910    -0.510    2.2561    26.973    21.643
     1.990     2.011    -0.499    2.2576    26.982    21.651
     2.090     2.112    -0.499    2.2590    27.001    21.666
     2.200     2.223    -0.510    2.2605    27.030    21.690
     2.300     2.324    -0.499    2.2605    27.020    21.681
     2.410     2.435    -0.510    2.2605    27.030    21.690
     2.510     2.537    -0.499    2.2620    27.040    21.697
     2.620     2.648    -0.499    2.2620    27.040    21.697
     2.730     2.759    -0.510    2.2620    27.049    21.705
     2.830     2.860    -0.499    2.2635    27.059    21.713
     2.940     2.971    -0.510    2.2635    27.069    21.721
