Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  13 July 2016
                                                                      
SIZRS 2016 Mission 5 (AXCTD drop 4)                    USCG C-130 1714
                      Arctic Ocean = Beaufort Sea                     
74 deg 59.0 min North _ 150 deg 00.0 min West      2016-07-13/2158 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15126181                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.419    2.0698    24.475    19.626
     0.730     0.738    -0.430    2.0684    24.466    19.618
     0.750     0.758    -0.430    2.0684    24.466    19.618
     0.780     0.788    -0.430    2.0684    24.466    19.618
     0.820     0.829    -0.440    2.0669    24.455    19.609
     0.880     0.889    -0.451    2.0654    24.444    19.601
     0.940     0.950    -0.472    2.0654    24.461    19.615
     1.000     1.010    -0.472    2.0654    24.461    19.615
     1.080     1.091    -0.483    2.0684    24.509    19.653
     1.150     1.162    -0.493    2.0771    24.629    19.751
     1.230     1.243    -0.504    2.0947    24.866    19.942
     1.320     1.334    -0.515    2.1064    25.027    20.072
     1.410     1.425    -0.515    2.1181    25.179    20.195
     1.500     1.516    -0.515    2.1298    25.331    20.317
     1.600     1.617    -0.515    2.1371    25.426    20.394
     1.690     1.708    -0.515    2.1400    25.463    20.424
     1.790     1.809    -0.515    2.1430    25.502    20.456
     1.890     1.910    -0.515    2.1474    25.559    20.502
     1.990     2.011    -0.515    2.1503    25.597    20.532
     2.090     2.112    -0.536    2.1518    25.634    20.563
     2.200     2.223    -0.536    2.1547    25.672    20.593
     2.300     2.324    -0.547    2.1561    25.699    20.616
     2.410     2.435    -0.557    2.1576    25.727    20.638
     2.510     2.536    -0.557    2.1576    25.727    20.638
     2.620     2.647    -0.568    2.1605    25.774    20.677
     2.730     2.759    -0.568    2.1605    25.774    20.677
     2.830     2.860    -0.568    2.1635    25.813    20.708
     2.940     2.971    -0.568    2.1635    25.813    20.708
