Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  15 June 2016
                                                                      
SIZRS 2016 Mission 5 (AXCTD drop 4)                    USCG C-130 1709
                      Arctic Ocean = Beaufort Sea                     
75 deg 07.2 min North _ 149 deg 58.4 min West      2016-06-15/2158 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031641                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.302    2.1856    26.748    21.473
     0.730     0.738    -1.302    2.1930    26.847    21.553
     0.750     0.758    -1.302    2.2018    26.965    21.649
     0.780     0.788    -1.313    2.2106    27.093    21.752
     0.820     0.829    -1.313    2.2180    27.192    21.833
     0.880     0.889    -1.313    2.2224    27.251    21.881
     0.940     0.950    -1.313    2.2269    27.311    21.930
     1.000     1.010    -1.313    2.2298    27.350    21.961
     1.080     1.091    -1.313    2.2342    27.409    22.009
     1.150     1.162    -1.313    2.2372    27.449    22.041
     1.230     1.243    -1.313    2.2372    27.449    22.041
     1.320     1.334    -1.324    2.2386    27.478    22.065
     1.410     1.425    -1.313    2.2386    27.468    22.057
     1.500     1.516    -1.313    2.2416    27.508    22.089
     1.600     1.617    -1.324    2.2416    27.518    22.097
     1.690     1.708    -1.324    2.2416    27.518    22.097
     1.790     1.809    -1.324    2.2416    27.518    22.097
     1.890     1.910    -1.324    2.2431    27.538    22.114
     1.990     2.011    -1.324    2.2431    27.538    22.114
     2.090     2.112    -1.324    2.2431    27.538    22.113
     2.200     2.223    -1.324    2.2445    27.557    22.129
     2.300     2.324    -1.324    2.2431    27.538    22.113
     2.410     2.435    -1.324    2.2431    27.538    22.113
     2.510     2.536    -1.324    2.2445    27.557    22.129
     2.620     2.647    -1.335    2.2445    27.567    22.137
     2.730     2.759    -1.324    2.2445    27.557    22.128
     2.830     2.860    -1.324    2.2445    27.557    22.128
     2.940     2.971    -1.324    2.2445    27.557    22.128
