Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  6 October 2016
                                                                      
SIZRS 2016 Mission 5 (AXCTD drop 2)                    USCG C-130 1709
                      Arctic Ocean = Beaufort Sea                     
73 deg 00.3 min North _ 149 deg 59.8 min West      2016-10-06/2059 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15126173                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     0.561    2.2115    25.482    20.414
     0.730     0.738     0.551    2.2101    25.472    20.407
     0.750     0.758     0.561    2.2086    25.445    20.385
     0.780     0.788     0.572    2.2086    25.436    20.377
     0.820     0.828     0.561    2.2071    25.426    20.370
     0.880     0.889     0.551    2.2130    25.509    20.436
     0.940     0.950     0.530    2.2233    25.656    20.555
     1.000     1.010     0.530    2.2277    25.712    20.600
     1.080     1.091     0.530    2.2365    25.823    20.689
     1.150     1.162     0.519    2.2438    25.924    20.771
     1.230     1.243     0.509    2.2570    26.100    20.913
     1.320     1.334     0.509    2.2658    26.211    21.002
     1.410     1.425     0.498    2.2716    26.294    21.069
     1.500     1.516     0.498    2.2775    26.368    21.129
     1.600     1.617     0.498    2.2819    26.424    21.174
     1.690     1.708     0.498    2.2834    26.443    21.189
     1.790     1.809     0.498    2.2848    26.461    21.203
     1.890     1.910     0.488    2.2863    26.488    21.226
     1.990     2.011     0.498    2.2863    26.480    21.219
     2.090     2.112     0.488    2.2878    26.507    21.241
     2.200     2.223     0.498    2.2892    26.516    21.248
     2.300     2.324     0.498    2.2892    26.516    21.248
     2.410     2.435     0.488    2.2892    26.525    21.255
     2.510     2.536     0.488    2.2892    26.525    21.255
     2.620     2.647     0.488    2.2907    26.544    21.271
     2.730     2.758     0.488    2.2907    26.544    21.270
     2.830     2.859     0.488    2.2907    26.544    21.270
     2.940     2.971     0.488    2.2907    26.544    21.270
     3.050     3.082     0.488    2.2907    26.544    21.270
