Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight  14 Sept.2016
                                                                      
SIZRS 2016 Mission 4 (AXCTD drop 2)                    USCG C-130 1711
                      Arctic Ocean = Beaufort Sea                     
73 deg 15.2 min North _ 149 deg 59.2 min West      2016-09-14/1921 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031651                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     0.617    2.2151    25.481    20.412
     0.730     0.738     0.606    2.2135    25.470    20.403
     0.750     0.758     0.606    2.2135    25.470    20.403
     0.780     0.788     0.606    2.2135    25.470    20.403
     0.820     0.828     0.596    2.2135    25.478    20.410
     0.880     0.889     0.596    2.2151    25.498    20.426
     0.940     0.950     0.596    2.2196    25.555    20.472
     1.000     1.010     0.596    2.2212    25.575    20.488
     1.080     1.091     0.596    2.2242    25.613    20.518
     1.150     1.162     0.596    2.2273    25.652    20.550
     1.230     1.243     0.596    2.2303    25.689    20.580
     1.320     1.334     0.596    2.2349    25.747    20.627
     1.410     1.425     0.596    2.2395    25.805    20.673
     1.500     1.516     0.596    2.2441    25.863    20.720
     1.600     1.617     0.596    2.2471    25.901    20.750
     1.690     1.708     0.596    2.2502    25.940    20.781
     1.790     1.809     0.596    2.2517    25.959    20.797
     1.890     1.910     0.596    2.2532    25.978    20.812
     1.990     2.011     0.596    2.2548    25.998    20.828
     2.090     2.112     0.596    2.2578    26.036    20.858
     2.200     2.223     0.596    2.2578    26.036    20.858
     2.300     2.324     0.596    2.2594    26.056    20.875
     2.410     2.435     0.596    2.2594    26.056    20.875
     2.510     2.536     0.596    2.2609    26.075    20.890
     2.620     2.647     0.596    2.2609    26.075    20.890
     2.730     2.758     0.596    2.2624    26.093    20.905
     2.830     2.859     0.596    2.2624    26.093    20.905
     2.940     2.971     0.596    2.2624    26.093    20.905
     3.050     3.082     0.596    2.2624    26.093    20.905
