Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 14 June 2017
                                                                      
SIZRS 2017 Mission 2 (AXCTD drop 5)                    USCG C-130 1709
                      Arctic Ocean = Beaufort Sea                     
71 deg 50.5 min North _ 149 deg 44.3 min West      2017-07-12/0105 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15126166                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.547    2.0505    24.329    19.509
     0.730     0.737    -0.536    2.0505    24.320    19.502
     0.750     0.758    -0.547    2.0505    24.329    19.509
     0.780     0.788    -0.547    2.0505    24.329    19.509
     0.820     0.828    -0.536    2.0490    24.301    19.486
     0.880     0.889    -0.557    2.0475    24.298    19.484
     0.940     0.950    -0.568    2.0505    24.346    19.523
     1.000     1.010    -0.589    2.0578    24.457    19.613
     1.080     1.091    -0.600    2.0622    24.523    19.667
     1.150     1.162    -0.600    2.0724    24.656    19.773
     1.230     1.243    -0.611    2.0856    24.836    19.919
     1.320     1.334    -0.611    2.0944    24.951    20.012
     1.410     1.425    -0.611    2.1018    25.047    20.089
     1.500     1.515    -0.621    2.1149    25.226    20.234
     1.600     1.616    -0.621    2.1252    25.360    20.342
     1.690     1.707    -0.632    2.1325    25.464    20.427
     1.790     1.808    -0.643    2.1399    25.570    20.512
     1.890     1.909    -0.643    2.1428    25.608    20.543
     1.990     2.010    -0.675    2.1472    25.692    20.612
     2.090     2.112    -0.707    2.1487    25.739    20.650
     2.200     2.223    -0.718    2.1516    25.786    20.688
     2.300     2.324    -0.739    2.1531    25.824    20.719
     2.410     2.435    -0.771    2.1560    25.889    20.772
     2.510     2.536    -0.803    2.1589    25.955    20.826
     2.620     2.647    -0.836    2.1604    26.003    20.865
     2.730     2.758    -0.868    2.1633    26.069    20.919
     2.830     2.859    -0.911    2.1692    26.184    21.012
     2.940     2.970    -0.932    2.1706    26.221    21.042
