Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 14 June 2017
                                                                      
SIZRS 2017 Mission 1 (AXCTD drop 1)                    USCG C-130 1709
                      Arctic Ocean = Beaufort Sea                     
71 deg 58.2 min North _ 149 deg 58.2 min West      2017-06-15/0232 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15126183                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.006    2.2336    27.122    21.772
     0.730     0.737    -0.963    2.2321    27.063    21.724
     0.750     0.758    -0.941    2.2306    27.023    21.692
     0.780     0.788    -0.995    2.2277    27.033    21.701
     0.820     0.828    -1.049    2.2277    27.082    21.741
     0.880     0.889    -1.081    2.2277    27.111    21.765
     0.940     0.950    -1.102    2.2292    27.150    21.796
     1.000     1.010    -1.113    2.2365    27.257    21.883
     1.080     1.091    -1.124    2.2423    27.344    21.954
     1.150     1.162    -1.135    2.2555    27.531    22.105
     1.230     1.243    -1.124    2.2643    27.638    22.192
     1.320     1.334    -1.135    2.2731    27.766    22.295
     1.410     1.425    -1.135    2.2819    27.883    22.391
     1.500     1.515    -1.135    2.2906    28.000    22.485
     1.600     1.616    -1.135    2.3009    28.137    22.597
     1.690     1.707    -1.135    2.3067    28.215    22.659
     1.790     1.808    -1.135    2.3111    28.274    22.707
     1.890     1.909    -1.135    2.3155    28.333    22.755
     1.990     2.011    -1.135    2.3155    28.333    22.755
     2.090     2.112    -1.135    2.3170    28.353    22.771
     2.200     2.223    -1.135    2.3184    28.371    22.786
     2.300     2.324    -1.135    2.3199    28.391    22.802
     2.410     2.435    -1.135    2.3214    28.411    22.819
     2.510     2.536    -1.135    2.3214    28.411    22.819
     2.620     2.647    -1.145    2.3214    28.421    22.826
     2.730     2.758    -1.167    2.3184    28.401    22.811
     2.830     2.859    -1.189    2.3184    28.422    22.828
     2.940     2.970    -1.199    2.3184    28.432    22.836
