Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 17 August 2017
                                                                      
SIZRS 2017 Mission 3 (AXCTD drop 2)                    USCG C-130 1702
                      Arctic Ocean = Beaufort Sea                     
77 deg 04.8 min North _ 149 deg 59.7 min West      2017-08-17/2223 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 16124218                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728     0.648    2.0467    23.349    18.698
     0.730     0.738     0.637    2.0467    23.357    18.705
     0.750     0.758     0.648    2.0513    23.406    18.744
     0.780     0.788     0.658    2.0543    23.436    18.767
     0.820     0.829     0.669    2.0543    23.428    18.760
     0.880     0.889     0.689    2.0528    23.394    18.733
     0.940     0.950     0.721    2.0513    23.351    18.697
     1.000     1.011     0.762    2.0497    23.300    18.655
     1.080     1.091     0.783    2.0482    23.266    18.627
     1.150     1.162     0.783    2.0482    23.266    18.627
     1.230     1.243     0.783    2.0451    23.227    18.596
     1.320     1.334     0.783    2.0421    23.190    18.566
     1.410     1.425     0.731    2.0344    23.133    18.522
     1.500     1.516     0.648    2.0190    23.004    18.421
     1.600     1.617     0.554    2.0006    22.845    18.295
     1.690     1.708     0.460    1.9960    22.857    18.307
     1.790     1.809     0.386    2.0068    23.048    18.461
     1.890     1.910     0.345    2.0037    23.039    18.456
     1.990     2.011     0.365    2.0313    23.370    18.722
     2.090     2.112     0.397    2.0344    23.385    18.733
     2.200     2.223     0.376    2.0313    23.362    18.715
     2.300     2.324     0.334    2.0313    23.394    18.741
     2.410     2.435     0.313    2.0298    23.391    18.739
     2.510     2.537     0.292    2.0283    23.388    18.737
     2.620     2.648     0.282    2.0267    23.376    18.727
     2.730     2.759     0.271    2.0267    23.384    18.734
     2.830     2.860     0.271    2.0267    23.384    18.734
     2.940     2.971     0.282    2.0283    23.396    18.744
     3.050     3.082     0.271    2.0313    23.442    18.781
