Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 20 October 2017
                                                                      
SIZRS 2017 Mission 5 (AXCTD drop 3)                    USCG C-130 1709
                      Arctic Ocean = Beaufort Sea                     
72 deg 00.1 min North _ 150 deg 00.1 min West      2017-10-21/0155 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15031667                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     0.001    2.2346    26.247    21.046
     0.730     0.737     0.001    2.2346    26.247    21.046
     0.750     0.758    -0.009    2.2407    26.334    21.117
     0.780     0.788    -0.020    2.2529    26.501    21.251
     0.820     0.828    -0.020    2.2590    26.579    21.314
     0.880     0.889    -0.020    2.2666    26.677    21.393
     0.940     0.950    -0.020    2.2788    26.834    21.520
     1.000     1.010    -0.020    2.2849    26.913    21.583
     1.080     1.091    -0.009    2.2956    27.041    21.686
     1.150     1.162    -0.009    2.3032    27.139    21.765
     1.230     1.243    -0.009    2.3108    27.237    21.844
     1.320     1.334    -0.009    2.3185    27.336    21.924
     1.410     1.425    -0.009    2.3261    27.435    22.003
     1.500     1.515    -0.009    2.3291    27.473    22.035
     1.600     1.616    -0.009    2.3322    27.513    22.067
     1.690     1.707     0.001    2.3337    27.524    22.075
     1.790     1.808     0.001    2.3368    27.564    22.107
     1.890     1.909     0.001    2.3383    27.583    22.123
     1.990     2.011     0.001    2.3383    27.583    22.123
     2.090     2.112     0.001    2.3383    27.583    22.123
     2.200     2.223     0.012    2.3398    27.592    22.130
     2.300     2.324     0.012    2.3398    27.592    22.130
     2.410     2.435     0.012    2.3413    27.611    22.145
     2.510     2.536     0.012    2.3413    27.611    22.145
     2.620     2.647     0.012    2.3413    27.611    22.145
     2.730     2.758     0.012    2.3413    27.611    22.145
     2.830     2.859     0.012    2.3413    27.611    22.145
     2.940     2.970     0.012    2.3413    27.611    22.145
