Seasonal Ice Zone Reconnaissance Survey (SIZRS)                      
Office of Naval Research (ONR) Grant N00014-12-1-0236                
US National Oceanic and Atmospheric Administration Flight 31 May 2018
                                                                     
SIZRS 2018 Mission 1 (AXCTD drop 5)             NOAA Twin Otter N56RF
                     Arctic Ocean = Beaufort Sea                     
71 deg 55.8 min North _ 150 deg 49.8 min West     2018-06-01/0207 UTC
                                                                     
  Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
            ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 15126162                 
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.179    2.2158    26.160    20.980
     0.730     0.737    -0.637    2.2099    26.481    21.248
     0.750     0.758    -0.958    2.2025    26.666    21.403
     0.780     0.788    -1.206    2.2232    27.164    21.809
     0.820     0.828    -1.357    2.2217    27.282    21.906
     0.880     0.889    -1.444    2.2276    27.441    22.036
     0.940     0.950    -1.487    2.2703    28.057    22.536
     1.000     1.010    -1.520    2.2806    28.228    22.675
     1.080     1.091    -1.541    2.2983    28.488    22.886
     1.150     1.162    -1.563    2.3159    28.748    23.097
     1.230     1.243    -1.563    2.3263    28.889    23.212
     1.320     1.334    -1.574    2.3366    29.040    23.334
     1.410     1.425    -1.574    2.3498    29.220    23.480
     1.500     1.515    -1.574    2.3572    29.321    23.562
     1.600     1.616    -1.574    2.3631    29.401    23.627
     1.690     1.707    -1.585    2.3704    29.511    23.717
     1.790     1.808    -1.585    2.3734    29.552    23.750
     1.890     1.909    -1.585    2.3763    29.592    23.782
     1.990     2.011    -1.585    2.3793    29.633    23.815
     2.090     2.112    -1.585    2.3808    29.653    23.832
     2.200     2.223    -1.596    2.3822    29.683    23.856
     2.300     2.324    -1.596    2.3837    29.703    23.873
     2.410     2.435    -1.596    2.3852    29.724    23.890
     2.510     2.536    -1.596    2.3866    29.743    23.905
     2.620     2.647    -1.596    2.3866    29.743    23.905
     2.730     2.758    -1.596    2.3896    29.784    23.938
     2.830     2.859    -1.596    2.3896    29.784    23.938
     2.940     2.970    -1.596    2.3911    29.804    23.955
