Seasonal Ice Zone Reconnaissance Survey (SIZRS)                      
Office of Naval Research (ONR) Grant N00014-12-1-0236                
US National Oceanic and Atmospheric Administration Flight 29 May 2018
                                                                     
SIZRS 2018 Mission 2 (AXCTD drop 3)             NOAA Twin Otter N56RF
                     Arctic Ocean = Beaufort Sea                     
73.0900 degrees North   150.0009 degrees West      2018-07-30/0449 UTC
                                                                     
  Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
            ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 16124219                 
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.181    2.0723    25.136    20.166
     0.730     0.738    -1.203    2.0739    25.175    20.198
     0.750     0.758    -1.214    2.0785    25.246    20.255
     0.780     0.788    -1.224    2.0831    25.315    20.312
     0.820     0.828    -1.224    2.0893    25.397    20.378
     0.880     0.889    -1.235    2.0986    25.530    20.486
     0.940     0.950    -1.235    2.1124    25.713    20.634
     1.000     1.010    -1.235    2.1248    25.878    20.768
     1.080     1.091    -1.235    2.1340    26.001    20.867
     1.150     1.162    -1.235    2.1402    26.083    20.934
     1.230     1.243    -1.235    2.1448    26.144    20.983
     1.320     1.334    -1.235    2.1510    26.227    21.050
     1.410     1.425    -1.235    2.1556    26.288    21.100
     1.500     1.516    -1.235    2.1587    26.329    21.133
     1.600     1.617    -1.235    2.1602    26.349    21.149
     1.690     1.708    -1.235    2.1618    26.370    21.167
     1.790     1.809    -1.235    2.1649    26.412    21.200
     1.890     1.910    -1.246    2.1664    26.441    21.224
     1.990     2.011    -1.246    2.1664    26.441    21.224
     2.090     2.112    -1.246    2.1680    26.463    21.241
     2.200     2.223    -1.246    2.1680    26.463    21.241
     2.300     2.324    -1.246    2.1695    26.483    21.257
     2.410     2.435    -1.246    2.1695    26.483    21.257
     2.510     2.536    -1.246    2.1695    26.482    21.257
     2.620     2.647    -1.246    2.1710    26.502    21.273
     2.730     2.758    -1.246    2.1710    26.502    21.273
     2.830     2.859    -1.246    2.1710    26.502    21.273
     2.940     2.971    -1.246    2.1710    26.502    21.273
