Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 18 September 2018
                                                                      
SIZRS 2018 Mission 4 (AXCTD drop 6)                    USCG C-130 1713
                      Arctic Ocean = Beaufort Sea                     
77 deg 07.7 min North _ 149 deg 58.4 min West      2018-09-18/2257 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 16124228                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -1.206    2.1114    25.675    20.603
     0.730     0.738    -1.195    2.1114    25.666    20.596
     0.750     0.758    -1.184    2.1114    25.656    20.588
     0.780     0.788    -1.195    2.1114    25.666    20.596
     0.820     0.829    -1.195    2.1098    25.645    20.578
     0.880     0.889    -1.206    2.1098    25.654    20.586
     0.940     0.950    -1.206    2.1083    25.634    20.570
     1.000     1.011    -1.217    2.1083    25.643    20.578
     1.080     1.091    -1.217    2.1067    25.622    20.560
     1.150     1.162    -1.227    2.1067    25.631    20.567
     1.230     1.243    -1.238    2.1083    25.661    20.592
     1.320     1.334    -1.227    2.1083    25.652    20.584
     1.410     1.425    -1.238    2.1145    25.744    20.659
     1.500     1.516    -1.238    2.1206    25.825    20.724
     1.600     1.617    -1.238    2.1314    25.968    20.841
     1.690     1.708    -1.249    2.1391    26.080    20.932
     1.790     1.809    -1.238    2.1468    26.173    21.007
     1.890     1.910    -1.249    2.1530    26.265    21.082
     1.990     2.011    -1.238    2.1576    26.317    21.123
     2.090     2.112    -1.238    2.1623    26.380    21.174
     2.200     2.223    -1.249    2.1653    26.429    21.214
     2.300     2.324    -1.238    2.1684    26.461    21.240
     2.410     2.435    -1.249    2.1700    26.492    21.265
     2.510     2.537    -1.238    2.1730    26.522    21.289
     2.620     2.648    -1.238    2.1746    26.543    21.307
     2.730     2.759    -1.249    2.1761    26.573    21.331
     2.830     2.860    -1.238    2.1777    26.585    21.340
     2.940     2.971    -1.249    2.1777    26.594    21.348
