Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-12-1-0236                 
United States Coast Guard Arctic Domain Awareness Flight 9 October 2018
                                                                      
SIZRS 2018 Mission 5 (AXCTD drop 3)                    USCG C-130 1713
                      Arctic Ocean = Beaufort Sea                     
74 deg 00.1 min North _ 150 deg 06.3 min West      2018-10-09/2203 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 16124202                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -0.559    2.1719    25.916    20.791
     0.730     0.738    -0.559    2.1734    25.936    20.807
     0.750     0.758    -0.570    2.1734    25.945    20.815
     0.780     0.788    -0.570    2.1765    25.986    20.847
     0.820     0.828    -0.570    2.1827    26.067    20.913
     0.880     0.889    -0.570    2.1858    26.107    20.945
     0.940     0.950    -0.570    2.1873    26.127    20.961
     1.000     1.010    -0.570    2.1935    26.208    21.026
     1.080     1.091    -0.570    2.1950    26.227    21.042
     1.150     1.162    -0.570    2.1981    26.268    21.075
     1.230     1.243    -0.570    2.1996    26.287    21.091
     1.320     1.334    -0.570    2.2027    26.328    21.123
     1.410     1.425    -0.570    2.2043    26.348    21.140
     1.500     1.516    -0.570    2.2043    26.348    21.140
     1.600     1.617    -0.570    2.2058    26.368    21.156
     1.690     1.708    -0.570    2.2073    26.387    21.172
     1.790     1.809    -0.570    2.2073    26.387    21.172
     1.890     1.910    -0.570    2.2089    26.408    21.189
     1.990     2.011    -0.570    2.2089    26.408    21.189
     2.090     2.112    -0.570    2.2089    26.408    21.189
     2.200     2.223    -0.570    2.2104    26.428    21.204
     2.300     2.324    -0.570    2.2089    26.408    21.188
     2.410     2.435    -0.570    2.2104    26.428    21.204
     2.510     2.536    -0.570    2.2104    26.428    21.204
     2.620     2.647    -0.570    2.2104    26.428    21.204
     2.730     2.758    -0.570    2.2104    26.427    21.204
     2.830     2.860    -0.570    2.2104    26.427    21.204
     2.940     2.971    -0.570    2.2104    26.427    21.204
