Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-15-1-2295                 
United States Coast Guard Arctic Domain Awareness Flight 12 June 2019
                                                                      
SIZRS 2019 Mission 1 (AXCTD drop 3)                    USCG C-130 1713
                      Arctic Ocean = Beaufort Sea                     
73 deg 55.3 min North _ 149 deg 53.5 min West      2019-06-12/2117 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 16124222                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727    -1.373    2.2131    27.181    21.824
     0.730     0.738    -1.384    2.2224    27.316    21.934
     0.750     0.758    -1.395    2.2316    27.450    22.043
     0.780     0.788    -1.405    2.2393    27.563    22.134
     0.820     0.828    -1.405    2.2470    27.666    22.218
     0.880     0.889    -1.405    2.2532    27.750    22.286
     0.940     0.950    -1.405    2.2609    27.853    22.370
     1.000     1.010    -1.416    2.2655    27.926    22.429
     1.080     1.091    -1.416    2.2701    27.988    22.479
     1.150     1.162    -1.416    2.2717    28.009    22.496
     1.230     1.243    -1.416    2.2748    28.051    22.530
     1.320     1.334    -1.416    2.2763    28.071    22.547
     1.410     1.425    -1.416    2.2779    28.093    22.564
     1.500     1.516    -1.416    2.2794    28.113    22.580
     1.600     1.617    -1.416    2.2794    28.113    22.580
     1.690     1.708    -1.416    2.2809    28.133    22.597
     1.790     1.809    -1.416    2.2825    28.155    22.614
     1.890     1.910    -1.416    2.2840    28.175    22.631
     1.990     2.011    -1.416    2.2840    28.175    22.631
     2.090     2.112    -1.416    2.2840    28.175    22.631
     2.200     2.223    -1.416    2.2856    28.196    22.648
     2.300     2.324    -1.416    2.2856    28.196    22.648
     2.410     2.435    -1.416    2.2856    28.196    22.648
     2.510     2.536    -1.416    2.2856    28.196    22.648
     2.620     2.647    -1.416    2.2871    28.216    22.664
     2.730     2.758    -1.416    2.2871    28.216    22.664
     2.830     2.860    -1.416    2.2871    28.216    22.664
     2.940     2.971    -1.416    2.2871    28.216    22.664
