Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-15-1-2295                 
United States Coast Guard Arctic Domain Awareness Flight  10 July 2019
                                                                      
SIZRS 2019 Mission 2 (AXCTD drop 1)                   USCG C-130J 2006
                      Arctic Ocean = Beaufort Sea                     
71 deg 59.5 min North _ 150 deg 00.9 min West      2019-07-10/1938 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 17121458                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     5.289    2.6585    26.918    21.247
     0.730     0.737     5.309    2.6600    26.919    21.246
     0.750     0.758     5.309    2.6600    26.919    21.246
     0.780     0.788     5.289    2.6585    26.918    21.247
     0.820     0.828     5.270    2.6585    26.933    21.261
     0.880     0.889     5.230    2.6569    26.948    21.276
     0.940     0.950     5.201    2.6554    26.954    21.284
     1.000     1.010     5.172    2.6554    26.978    21.306
     1.080     1.091     5.152    2.6554    26.994    21.320
     1.150     1.162     5.152    2.6569    27.011    21.334
     1.230     1.243     5.142    2.6616    27.071    21.382
     1.320     1.334     5.142    2.6662    27.123    21.423
     1.410     1.425     5.132    2.6801    27.286    21.553
     1.500     1.515     5.132    2.6956    27.460    21.691
     1.600     1.616     5.132    2.7141    27.667    21.855
     1.690     1.707     5.132    2.7342    27.893    22.033
     1.790     1.808     5.132    2.7543    28.119    22.212
     1.890     1.909     5.132    2.7667    28.258    22.322
     1.990     2.011     5.132    2.7791    28.398    22.432
     2.090     2.112     5.132    2.7868    28.484    22.501
     2.200     2.223     5.132    2.7930    28.554    22.556
     2.300     2.324     5.132    2.7976    28.606    22.597
     2.410     2.435     5.132    2.8007    28.641    22.625
     2.510     2.536     5.122    2.8038    28.684    22.660
     2.620     2.647     5.122    2.8054    28.702    22.674
     2.730     2.758     5.122    2.8069    28.719    22.688
     2.830     2.859     5.122    2.8085    28.737    22.702
     2.940     2.970     5.122    2.8100    28.754    22.715
     3.050     3.082     5.122    2.8100    28.754    22.715
