Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-15-1-2295                 
United States Coast Guard Arctic Domain Awareness Flight  14 August 2019
                                                                      
SIZRS 2019 Mission 3 (AXCTD drop 7)                   USCG C-130J 2011
                      Arctic Ocean = Beaufort Sea                     
76 deg 58.2 min North _ 149 deg 59.6 min West      2019-08-14/2254 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 17121454                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728    -0.441    2.1151    25.079    20.113
     0.730     0.738    -0.441    2.1151    25.079    20.113
     0.750     0.758    -0.441    2.1227    25.177    20.192
     0.780     0.788    -0.452    2.1273    25.246    20.248
     0.820     0.829    -0.441    2.1380    25.376    20.352
     0.880     0.889    -0.452    2.1426    25.444    20.408
     0.940     0.950    -0.452    2.1502    25.543    20.488
     1.000     1.010    -0.452    2.1578    25.642    20.567
     1.080     1.091    -0.452    2.1624    25.701    20.616
     1.150     1.162    -0.452    2.1700    25.800    20.695
     1.230     1.243    -0.452    2.1746    25.860    20.744
     1.320     1.334    -0.452    2.1777    25.900    20.776
     1.410     1.425    -0.452    2.1822    25.958    20.823
     1.500     1.516    -0.463    2.1853    26.008    20.864
     1.600     1.617    -0.463    2.1853    26.008    20.864
     1.690     1.708    -0.463    2.1883    26.047    20.895
     1.790     1.809    -0.452    2.1883    26.038    20.887
     1.890     1.910    -0.452    2.1899    26.058    20.904
     1.990     2.011    -0.463    2.1914    26.087    20.927
     2.090     2.112    -0.452    2.1914    26.078    20.920
     2.200     2.223    -0.452    2.1929    26.097    20.935
     2.300     2.324    -0.452    2.1929    26.097    20.935
     2.410     2.435    -0.452    2.1944    26.117    20.951
     2.510     2.537    -0.452    2.1944    26.117    20.951
     2.620     2.648    -0.452    2.1944    26.116    20.951
     2.730     2.759    -0.452    2.1960    26.137    20.968
     2.830     2.860    -0.452    2.1960    26.137    20.968
     2.940     2.971    -0.452    2.1975    26.157    20.983
