Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-15-1-2295                 
United States Coast Guard Arctic Flight              12 September 2019
                                                                      
SIZRS 2019 Mission 4 (AXCTD drop 6)                   USCG C-130J 2002
                      Arctic Ocean = Beaufort Sea                     
75 deg 59.9 min North _ 150 deg 00.2 min West      2019-09-12/2226 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 17121362                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.728     0.184    2.2014    25.667    20.574
     0.730     0.738     0.184    2.2045    25.707    20.606
     0.750     0.758     0.184    2.2076    25.746    20.638
     0.780     0.788     0.184    2.2122    25.805    20.685
     0.820     0.829     0.184    2.2183    25.883    20.748
     0.880     0.889     0.184    2.2245    25.962    20.812
     0.940     0.950     0.184    2.2322    26.060    20.891
     1.000     1.010     0.184    2.2368    26.119    20.938
     1.080     1.091     0.184    2.2414    26.178    20.985
     1.150     1.162     0.184    2.2444    26.216    21.016
     1.230     1.243     0.184    2.2475    26.255    21.048
     1.320     1.334     0.184    2.2491    26.276    21.064
     1.410     1.425     0.184    2.2506    26.295    21.080
     1.500     1.516     0.184    2.2521    26.314    21.095
     1.600     1.617     0.184    2.2537    26.335    21.112
     1.690     1.708     0.184    2.2537    26.334    21.112
     1.790     1.809     0.184    2.2552    26.354    21.127
     1.890     1.910     0.184    2.2552    26.354    21.127
     1.990     2.011     0.184    2.2552    26.354    21.127
     2.090     2.112     0.184    2.2567    26.373    21.142
     2.200     2.223     0.184    2.2567    26.373    21.142
     2.300     2.324     0.184    2.2567    26.373    21.142
     2.410     2.435     0.184    2.2567    26.372    21.142
     2.510     2.536     0.184    2.2567    26.372    21.142
     2.620     2.648     0.184    2.2583    26.393    21.159
     2.730     2.759     0.184    2.2583    26.393    21.159
     2.830     2.860     0.184    2.2583    26.393    21.159
     2.940     2.971     0.184    2.2583    26.393    21.158
     3.050     3.082     0.184    2.2598    26.412    21.174
