Seasonal Ice Zone Reconnaissance Survey (SIZRS)                       
Office of Naval Research (ONR) Grant N00014-15-1-2295                 
United States Coast Guard Arctic Flight                10 October 2019
                                                                      
SIZRS 2019 Mission 5 (AXCTD drop 1)                   USCG C-130J 2011
                      Arctic Ocean = Beaufort Sea                     
71 deg 59.9 min North _ 150 deg 00.1 min West      2019-10-10/1806 UTC
                                                                      
   Airborne Expendable Conductivity-Temperature-Depth (AXCTD) Probe   
             ( http://www.tsk-jp.com/tska/pdf/AXCTD.pdf )             
                 T.S.K. AXCTD serial number 19072035                  
                                                            
     Depth     Pres      Temp      Cond    Salinity   Sigma 
      (m)     (dbar)    (degC)     (S/m)     (psu)    -theta
#
     0.720     0.727     1.121    2.2818    25.897    20.728
     0.730     0.737     1.121    2.2818    25.897    20.728
     0.750     0.758     1.121    2.2818    25.897    20.728
     0.780     0.788     1.121    2.2818    25.897    20.728
     0.820     0.828     1.121    2.2818    25.897    20.728
     0.880     0.889     1.111    2.2818    25.906    20.735
     0.940     0.950     1.090    2.2802    25.903    20.734
     1.000     1.010     1.080    2.2787    25.893    20.726
     1.080     1.091     1.070    2.2787    25.901    20.733
     1.150     1.162     1.070    2.2772    25.882    20.718
     1.230     1.243     1.059    2.2772    25.892    20.726
     1.320     1.334     1.059    2.2772    25.892    20.726
     1.410     1.425     1.059    2.2787    25.910    20.741
     1.500     1.515     1.059    2.2787    25.910    20.740
     1.600     1.616     1.059    2.2802    25.929    20.755
     1.690     1.707     1.049    2.2802    25.937    20.762
     1.790     1.808     1.049    2.2833    25.976    20.793
     1.890     1.909     1.049    2.2848    25.994    20.808
     1.990     2.011     1.049    2.2848    25.994    20.808
     2.090     2.112     1.049    2.2864    26.014    20.824
     2.200     2.223     1.049    2.2864    26.014    20.824
     2.300     2.324     1.049    2.2879    26.033    20.839
     2.410     2.435     1.049    2.2894    26.051    20.854
     2.510     2.536     1.049    2.2894    26.051    20.854
     2.620     2.647     1.049    2.2894    26.051    20.854
     2.730     2.758     1.049    2.2894    26.051    20.854
     2.830     2.859     1.049    2.2894    26.051    20.854
     2.940     2.970     1.049    2.2910    26.071    20.870
     3.050     3.082     1.049    2.2910    26.071    20.870
